,기간,자치구,사람 수,남자수,여자수,유기견수,복귀,입양분양,폐사안락사,계류기증,분류,있다,없다,동물판매업소,유상입양,무상입양,인터넷을 통해 구입,유기동물 입양,원래 기르던 동물이 낳은 새끼,기타,계,1인가구,2인가구,3인가구,4인가구,5인 가구,6인가구,7인이상 가구,평균가구원수,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상,합계,단독주택,아파트,연립주택,다세대주택,비거주용 건물내 주택,주택이외의 거처,합계_남,합계_여,단독주택_남,단독주택_여,아파트_남,아파트_여,연립주택_남,연립주택_여,다세대주택_남,다세대주택_여,비거주용 건물내 주택_남,비거주용 건물내 주택_여,주택이외의 거처_남,주택이외의 거처_여
0,2005,합계,10167344,5062492,5104852,14679,601,525,7736,5817,,,,,,,,,,,3309890.0,675739.0,670455.0,732043.0,917243.0,248450.0,49781.0,16179.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2005,종로구,169315,84981,84334,258,12,3,89,154,,,,,,,,,,,54534.0,14592.0,11641.0,10624.0,12373.0,4087.0,905.0,312.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2005,중구,130027,64995,65032,264,0,9,102,153,,,,,,,,,,,46625.0,13128.0,9833.0,9270.0,9961.0,3538.0,627.0,268.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2005,용산구,230260,113158,117102,383,12,12,170,189,,,,,,,,,,,76125.0,18218.0,18032.0,16187.0,17302.0,4902.0,1088.0,396.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2005,성동구,337744,169346,168398,431,19,7,96,309,,,,,,,,,,,111485.0,23161.0,24104.0,24784.0,28823.0,8263.0,1756.0,594.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,광진구,375613,187320,188293,788,47,16,290,435,,,,,,,,,,,125845.0,27975.0,26349.0,26617.0,33676.0,8877.0,1772.0,579.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2005,동대문구,381110,192317,188793,375,8,14,160,193,,,,,,,,,,,131213.0,32710.0,27114.0,26816.0,31631.0,10078.0,2140.0,724.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2005,중랑구,427373,213775,213598,658,27,17,591,23,,,,,,,,,,,137907.0,25622.0,27876.0,31417.0,39299.0,10646.0,2344.0,703.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2005,성북구,462879,230451,232428,564,19,10,148,387,,,,,,,,,,,146894.0,28278.0,30470.0,33140.0,39923.0,11541.0,2683.0,859.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2005,강북구,353260,175723,177537,576,22,11,521,22,,,,,,,,,,,112719.0,19661.0,23947.0,26804.0,30732.0,8733.0,2073.0,769.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2005,도봉구,381529,189766,191763,556,27,17,488,24,,,,,,,,,,,116492.0,15890.0,22224.0,28227.0,37951.0,9575.0,1972.0,653.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2005,노원구,622003,306356,315647,560,26,11,244,279,,,,,,,,,,,191342.0,25701.0,36951.0,46455.0,63524.0,15091.0,2827.0,793.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2005,은평구,470751,233418,237333,823,32,11,752,28,,,,,,,,,,,145477.0,23461.0,30238.0,35247.0,41328.0,11595.0,2636.0,972.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2005,서대문구,349163,171773,177390,596,24,7,146,419,,,,,,,,,,,117866.0,26764.0,25469.0,25293.0,29296.0,8394.0,1941.0,709.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2005,마포구,388164,190582,197582,557,17,5,529,6,,,,,,,,,,,135042.0,34262.0,30249.0,28207.0,30947.0,8756.0,1963.0,658.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2005,양천구,499755,250040,249715,843,28,12,767,36,,,,,,,,,,,148261.0,20344.0,25960.0,34842.0,51480.0,12720.0,2263.0,652.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2005,강서구,553660,274159,279501,1069,45,9,374,641,,,,,,,,,,,178045.0,31163.0,35534.0,41570.0,52590.0,13674.0,2690.0,824.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2005,구로구,416405,211109,205296,601,17,9,229,346,,,,,,,,,,,132705.0,23406.0,26124.0,30326.0,39037.0,10917.0,2203.0,692.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2005,금천구,256902,130883,126019,340,6,5,323,6,,,,,,,,,,,85171.0,18201.0,16598.0,18347.0,23984.0,6359.0,1282.0,400.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2005,영등포구,408386,206376,202010,588,16,8,268,296,,,,,,,,,,,135609.0,28624.0,29255.0,29601.0,35967.0,9622.0,1933.0,607.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2005,동작구,410481,203993,206488,679,26,11,616,26,,,,,,,,,,,136863.0,28068.0,29717.0,30434.0,35661.0,10130.0,2118.0,735.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2005,관악구,530020,270064,259956,717,25,16,240,436,,,,,,,,,,,202788.0,66058.0,40181.0,37525.0,43105.0,12397.0,2639.0,883.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2005,서초구,401736,196268,205468,359,19,7,77,256,,,,,,,,,,,124933.0,24349.0,24999.0,27892.0,36003.0,9720.0,1508.0,462.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
