,01_data(05~18),,,,02_data(05~18),,,,,03_data(14~18),,,,,,,,,"06_data(05,10,15,16,17,18)",,,,,,,,,11_data(13~18),,,,,,,,,,,13_data(15~18),,,,,,07_data(10~18),,,08_data(13~18),04_data(10~18),,,,,,,,,,,,,,,,,,,,,05_data(10~18),,,,,,
년도,자치구,사람 수,남자수,여자수,유기견수,복귀,입양분양,폐사안락사,계류기증,있다,없다,동물판매업소,유상입양,무상입양,인터넷을 통해 구입,유기동물 입양,원래 기르던 동물이 낳은 새끼,기타,계,1인가구,2인가구,3인가구,4인가구,5인 가구,6인가구,7인이상 가구,평균가구원수,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상,합계,단독주택,아파트,연립주택,다세대주택,비거주용 건물내 주택,행정구역면적(㎡),공원면적(㎡),공원율(%),공원 계,합계,단독주택,아파트,연립주택,다세대주택,비거주용 건물내 주택,주택이외의 거처,합계_남,합계_여,단독주택_남,단독주택_여,아파트_남,아파트_여,연립주택_남,연립주택_여,다세대주택_남,다세대주택_여,비거주용 건물내 주택_남,비거주용 건물내 주택_여,주택이외의 거처_남,주택이외의 거처_여,20세미만,20대,30대,40대,50대,60대,70대이상
2005,합계,10167344,5062492,5104852,14679,601,525,7736,5817,,,,,,,,,,3309890,675739,670455,732043,917243,248450,49781,16179,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,종로구,169315,84981,84334,258,12,3,89,154,,,,,,,,,,54534,14592,11641,10624,12373,4087,905,312,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,중구,130027,64995,65032,264,0,9,102,153,,,,,,,,,,46625,13128,9833,9270,9961,3538,627,268,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,용산구,230260,113158,117102,383,12,12,170,189,,,,,,,,,,76125,18218,18032,16187,17302,4902,1088,396,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,성동구,337744,169346,168398,431,19,7,96,309,,,,,,,,,,111485,23161,24104,24784,28823,8263,1756,594,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,광진구,375613,187320,188293,788,47,16,290,435,,,,,,,,,,125845,27975,26349,26617,33676,8877,1772,579,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,동대문구,381110,192317,188793,375,8,14,160,193,,,,,,,,,,131213,32710,27114,26816,31631,10078,2140,724,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,중랑구,427373,213775,213598,658,27,17,591,23,,,,,,,,,,137907,25622,27876,31417,39299,10646,2344,703,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,성북구,462879,230451,232428,564,19,10,148,387,,,,,,,,,,146894,28278,30470,33140,39923,11541,2683,859,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
