자치구,년도,유기견수
0,0,258
1,0,264
2,0,383
3,0,431
4,0,788
5,0,375
6,0,658
7,0,564
8,0,576
9,0,556
10,0,560
11,0,823
12,0,596
13,0,557
14,0,843
15,0,1069
16,0,601
17,0,340
18,0,588
19,0,679
20,0,717
21,0,359
22,0,581
23,0,791
24,0,722
0,1,185
1,1,148
2,1,296
3,1,303
4,1,637
5,1,450
6,1,510
7,1,506
8,1,490
9,1,440
10,1,420
11,1,683
12,1,484
13,1,455
14,1,593
15,1,741
16,1,477
17,1,295
18,1,372
19,1,470
20,1,576
21,1,229
22,1,541
23,1,584
24,1,538
0,2,164
1,2,143
2,2,540
3,2,287
4,2,472
5,2,368
6,2,425
7,2,383
8,2,424
9,2,342
10,2,416
11,2,624
12,2,398
13,2,349
14,2,479
15,2,631
16,2,402
17,2,268
18,2,344
19,2,420
20,2,527
21,2,201
22,2,401
23,2,451
24,2,451
0,3,264
1,3,167
2,3,555
3,3,243
4,3,417
5,3,371
6,3,388
7,3,658
8,3,534
9,3,351
10,3,365
11,3,529
12,3,525
13,3,414
14,3,684
15,3,576
16,3,567
17,3,243
18,3,350
19,3,561
20,3,627
21,3,281
22,3,511
23,3,423
24,3,675
0,4,227
1,4,115
2,4,541
3,4,265
4,4,357
5,4,321
6,4,376
7,4,406
8,4,430
9,4,284
10,4,362
11,4,924
12,4,478
13,4,513
14,4,578
15,4,577
16,4,518
17,4,242
18,4,288
19,4,577
20,4,785
21,4,196
22,4,314
23,4,519
24,4,754
0,5,287
1,5,160
2,5,461
3,5,247
4,5,386
5,5,350
6,5,552
7,5,439
8,5,470
9,5,353
10,5,354
11,5,968
12,5,446
13,5,464
14,5,639
15,5,499
16,5,520
17,5,268
18,5,281
19,5,526
20,5,617
21,5,213
22,5,346
23,5,549
24,5,725
0,6,181
1,6,128
2,6,469
3,6,222
4,6,312
5,6,419
6,6,365
7,6,376
8,6,317
9,6,289
10,6,308
11,6,412
12,6,273
13,6,443
14,6,577
15,6,397
16,6,292
17,6,212
18,6,267
19,6,324
20,6,550
21,6,167
22,6,222
23,6,363
24,6,638
0,7,129
1,7,97
2,7,461
3,7,206
4,7,307
5,7,341
6,7,392
7,7,349
8,7,365
9,7,258
10,7,265
11,7,406
12,7,258
13,7,403
14,7,541
15,7,385
16,7,247
17,7,266
18,7,239
19,7,288
20,7,505
21,7,171
22,7,248
23,7,300
24,7,433
0,8,141
1,8,149
2,8,427
3,8,196
4,8,274
5,8,327
6,8,327
7,8,356
8,8,400
9,8,272
10,8,305
11,8,438
12,8,300
13,8,364
14,8,460
15,8,371
16,8,294
17,8,279
18,8,214
19,8,306
20,8,528
21,8,208
22,8,197
23,8,336
24,8,334
0,9,150
1,9,106
2,9,330
3,9,168
4,9,227
5,9,287
6,9,366
7,9,293
8,9,307
9,9,273
10,9,209
11,9,400
12,9,237
13,9,347
14,9,386
15,9,321
16,9,225
17,9,169
18,9,157
19,9,314
20,9,476
21,9,143
22,9,173
23,9,271
24,9,309
0,10,159
1,10,82
2,10,287
3,10,158
4,10,240
5,10,249
6,10,290
7,10,280
8,10,307
9,10,238
10,10,243
11,10,348
12,10,213
13,10,268
14,10,344
15,10,285
16,10,193
17,10,139
18,10,159
19,10,258
20,10,519
21,10,129
22,10,157
23,10,237
24,10,278
0,11,165
1,11,85
2,11,252
3,11,161
4,11,199
5,11,266
6,11,310
7,11,277
8,11,280
9,11,212
10,11,251
11,11,308
12,11,198
13,11,240
14,11,306
15,11,288
16,11,163
17,11,164
18,11,175
19,11,277
20,11,550
21,11,112
22,11,166
23,11,241
24,11,226
0,12,161
1,12,99
2,12,189
3,12,154
4,12,189
5,12,236
6,12,284
7,12,260
8,12,276
9,12,213
10,12,237
11,12,353
12,12,192
13,12,242
14,12,289
15,12,275
16,12,206
17,12,138
18,12,148
19,12,235
20,12,450
21,12,130
22,12,146
23,12,227
24,12,255
0,13,122
1,13,92
2,13,190
3,13,155
4,13,190
5,13,237
6,13,259
7,13,261
8,13,280
9,13,204
10,13,222
11,13,285
12,13,179
13,13,222
14,13,231
15,13,288
16,13,173
17,13,135
18,13,139
19,13,227
20,13,493
21,13,124
22,13,158
23,13,211
24,13,291
