기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2010,서울특별시  (1100000000),계    ,10312545,1434580,7875195,4537232,1002770,670431,261375,70964
2010,서울특별시  (1100000000),남    ,5111259,742356,3935581,2280927,433322,317889,95780,19653
2010,서울특별시  (1100000000),여    ,5201286,692224,3939614,2256305,569448,352542,165595,51311
2010,서울특별시 종로구 (1111000000),계    ,170578,20178,128089,71914,22311,14268,6114,1929
2010,서울특별시 종로구 (1111000000),남    ,85182,10558,64900,36650,9724,6588,2448,688
2010,서울특별시 종로구 (1111000000),여    ,85396,9620,63189,35264,12587,7680,3666,1241
2010,서울특별시 종로구 청운효자동(1111051500),계    ,15688,2449,11237,6446,2002,1267,570,165
2010,서울특별시 종로구 청운효자동(1111051500),남    ,7645,1370,5445,3046,830,566,225,39
2010,서울특별시 종로구 청운효자동(1111051500),여    ,8043,1079,5792,3400,1172,701,345,126
2010,서울특별시 종로구 사직동(1111053000),계    ,10203,1173,7506,4170,1524,937,453,134
2010,서울특별시 종로구 사직동(1111053000),남    ,4796,596,3555,1999,645,414,187,44
2010,서울특별시 종로구 사직동(1111053000),여    ,5407,577,3951,2171,879,523,266,90
2010,서울특별시 종로구 삼청동(1111054000),계    ,3517,382,2548,1405,587,335,187,65
2010,서울특별시 종로구 삼청동(1111054000),남    ,1690,197,1241,699,252,149,71,32
2010,서울특별시 종로구 삼청동(1111054000),여    ,1827,185,1307,706,335,186,116,33
2010,서울특별시 종로구 부암동(1111055000),계    ,11406,1433,8439,4407,1534,946,445,143
2010,서울특별시 종로구 부암동(1111055000),남    ,5644,770,4164,2090,710,455,199,56
2010,서울특별시 종로구 부암동(1111055000),여    ,5762,663,4275,2317,824,491,246,87
2010,서울특별시 종로구 평창동(1111056000),계    ,19566,2520,14558,7501,2488,1490,717,281
2010,서울특별시 종로구 평창동(1111056000),남    ,9415,1333,7039,3391,1043,686,282,75
2010,서울특별시 종로구 평창동(1111056000),여    ,10151,1187,7519,4110,1445,804,435,206
2010,서울특별시 종로구 무악동(1111057000),계    ,8663,1393,6225,3513,1045,675,295,75
2010,서울특별시 종로구 무악동(1111057000),남    ,4168,691,3030,1744,447,295,120,32
2010,서울특별시 종로구 무악동(1111057000),여    ,4495,702,3195,1769,598,380,175,43
2010,서울특별시 종로구 교남동(1111058000),계    ,9140,1030,6859,3929,1251,842,313,96
2010,서울특별시 종로구 교남동(1111058000),남    ,4507,540,3420,2019,547,391,122,34
2010,서울특별시 종로구 교남동(1111058000),여    ,4633,490,3439,1910,704,451,191,62
2010,서울특별시 종로구 가회동(1111060000),계    ,5709,689,4146,2334,874,540,239,95
2010,서울특별시 종로구 가회동(1111060000),남    ,2747,358,2028,1154,361,235,96,30
2010,서울특별시 종로구 가회동(1111060000),여    ,2962,331,2118,1180,513,305,143,65
2010,서울특별시 종로구 종로1.2.3.4가동(1111061500),계    ,8010,464,6052,3201,1494,932,388,174
2010,서울특별시 종로구 종로1.2.3.4가동(1111061500),남    ,4627,252,3617,1998,758,511,165,82
2010,서울특별시 종로구 종로1.2.3.4가동(1111061500),여    ,3383,212,2435,1203,736,421,223,92
2010,서울특별시 종로구 종로5.6가동(1111063000),계    ,6302,607,4809,2699,886,550,260,76
2010,서울특별시 종로구 종로5.6가동(1111063000),남    ,3383,318,2661,1536,404,264,102,38
2010,서울특별시 종로구 종로5.6가동(1111063000),여    ,2919,289,2148,1163,482,286,158,38
2010,서울특별시 종로구 이화동(1111064000),계    ,9358,957,7319,4429,1082,706,286,90
2010,서울특별시 종로구 이화동(1111064000),남    ,4518,488,3594,2183,436,305,103,28
