기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2014,"서울특별시  (1100000000)",계    ,10103233,1250859,7635845,4199907,1216529,781455,343414,91660
2014,"서울특별시  (1100000000)",남    ,4979768,644210,3801264,2100320,534294,369485,139543,25266
2014,"서울특별시  (1100000000)",여    ,5123465,606649,3834581,2099587,682235,411970,203871,66394
2014,"서울특별시 종로구 (1111000000)",계    ,156993,15953,116664,61559,24376,14584,7444,2348
2014,"서울특별시 종로구 (1111000000)",남    ,77621,8325,58622,30835,10674,6729,3134,811
2014,"서울특별시 종로구 (1111000000)",여    ,79372,7628,58042,30724,13702,7855,4310,1537
2014,"서울특별시 종로구 청운효자동(1111051500)",계    ,14308,1921,10311,5699,2076,1207,676,193
2014,"서울특별시 종로구 청운효자동(1111051500)",남    ,6807,1050,4898,2585,859,511,288,60
2014,"서울특별시 종로구 청운효자동(1111051500)",여    ,7501,871,5413,3114,1217,696,388,133
2014,"서울특별시 종로구 사직동(1111053000)",계    ,9774,1138,6977,3868,1659,944,538,177
2014,"서울특별시 종로구 사직동(1111053000)",남    ,4571,593,3254,1805,724,428,229,67
2014,"서울특별시 종로구 사직동(1111053000)",여    ,5203,545,3723,2063,935,516,309,110
2014,"서울특별시 종로구 삼청동(1111054000)",계    ,3058,281,2137,1090,640,358,197,85
2014,"서울특별시 종로구 삼청동(1111054000)",남    ,1465,154,1037,530,274,165,77,32
2014,"서울특별시 종로구 삼청동(1111054000)",여    ,1593,127,1100,560,366,193,120,53
2014,"서울특별시 종로구 부암동(1111055000)",계    ,10933,1210,8003,3971,1720,988,564,168
2014,"서울특별시 종로구 부암동(1111055000)",남    ,5356,658,3925,1876,773,458,253,62
2014,"서울특별시 종로구 부암동(1111055000)",여    ,5577,552,4078,2095,947,530,311,106
2014,"서울특별시 종로구 평창동(1111056000)",계    ,19393,2256,14264,7068,2873,1632,892,349
2014,"서울특별시 종로구 평창동(1111056000)",남    ,9207,1190,6811,3218,1206,752,367,87
2014,"서울특별시 종로구 평창동(1111056000)",여    ,10186,1066,7453,3850,1667,880,525,262
2014,"서울특별시 종로구 무악동(1111057000)",계    ,8376,1220,5938,3075,1218,688,401,129
2014,"서울특별시 종로구 무악동(1111057000)",남    ,3951,573,2865,1499,513,295,165,53
2014,"서울특별시 종로구 무악동(1111057000)",여    ,4425,647,3073,1576,705,393,236,76
2014,"서울특별시 종로구 교남동(1111058000)",계    ,4921,513,3572,1943,836,536,227,73
2014,"서울특별시 종로구 교남동(1111058000)",남    ,2382,255,1790,1005,337,221,94,22
2014,"서울특별시 종로구 교남동(1111058000)",여    ,2539,258,1782,938,499,315,133,51
2014,"서울특별시 종로구 가회동(1111060000)",계    ,5070,542,3651,2032,877,536,256,85
