기준연도,행정구역,구분,총인구수,유소년인구_0-14,생산가능인구_15-64,_핵심생산가능인구_25-49,고령인구_65이상,_전기고령인구_65-74,_중기고령인구_75-84,_후기고령인구_85이상
2015,서울특별시  (1100000000),계,"10,022,181","1,201,105","7,558,640","4,113,300","1,262,436","799,880","365,344","97,212"
2015,서울특별시  (1100000000),남,"4,930,943","617,694","3,757,589","2,055,113","555,660","377,205","151,416","27,039"
2015,서울특별시  (1100000000),여,"5,091,238","583,411","3,801,051","2,058,187","706,776","422,675","213,928","70,173"
2015,서울특별시 종로구 (1111000000),계,"154,986","15,168","115,066","59,927","24,752","14,518","7,814","2,420"
2015,서울특별시 종로구 (1111000000),남,"76,548","7,873","57,846","29,914","10,829","6,669","3,330",830
2015,서울특별시 종로구 (1111000000),여,"78,438","7,295","57,220","30,013","13,923","7,849","4,484","1,590"
2015,서울특별시 종로구 청운효자동(1111051500),계,"14,105","1,845","10,183","5,604","2,077","1,172",722,183
2015,서울특별시 종로구 청운효자동(1111051500),남,"6,673",998,"4,821","2,518",854,478,316,60
2015,서울특별시 종로구 청운효자동(1111051500),여,"7,432",847,"5,362","3,086","1,223",694,406,123
2015,서울특별시 종로구 사직동(1111053000),계,"9,700","1,136","6,887","3,818","1,677",905,574,198
2015,서울특별시 종로구 사직동(1111053000),남,"4,506",600,"3,176","1,740",730,405,254,71
2015,서울특별시 종로구 사직동(1111053000),여,"5,194",536,"3,711","2,078",947,500,320,127
2015,서울특별시 종로구 삼청동(1111054000),계,"2,960",267,"2,067","1,010",626,343,210,73
2015,서울특별시 종로구 삼청동(1111054000),남,"1,393",143,980,482,270,163,81,26
2015,서울특별시 종로구 삼청동(1111054000),여,"1,567",124,"1,087",528,356,180,129,47
2015,서울특별시 종로구 부암동(1111055000),계,"10,780","1,168","7,918","3,926","1,694",958,568,168
2015,서울특별시 종로구 부암동(1111055000),남,"5,250",631,"3,871","1,858",748,437,253,58
2015,서울특별시 종로구 부암동(1111055000),여,"5,530",537,"4,047","2,068",946,521,315,110
2015,서울특별시 종로구 평창동(1111056000),계,"19,212","2,143","14,128","6,905","2,941","1,608",965,368
2015,서울특별시 종로구 평창동(1111056000),남,"9,112","1,130","6,752","3,166","1,230",727,410,93
2015,서울특별시 종로구 평창동(1111056000),여,"10,100","1,013","7,376","3,739","1,711",881,555,275
2015,서울특별시 종로구 무악동(1111057000),계,"8,541","1,269","6,062","3,153","1,210",691,390,129
2015,서울특별시 종로구 무악동(1111057000),남,"4,042",612,"2,925","1,536",505,296,159,50
2015,서울특별시 종로구 무악동(1111057000),여,"4,499",657,"3,137","1,617",705,395,231,79
2015,서울특별시 종로구 교남동(1111058000),계,"4,797",469,"3,458","1,864",870,554,239,77
2015,서울특별시 종로구 교남동(1111058000),남,"2,305",231,"1,729",939,345,222,102,21
2015,서울특별시 종로구 교남동(1111058000),여,"2,492",238,"1,729",925,525,332,137,56
2015,서울특별시 종로구 가회동(1111060000),계,"4,837",476,"3,484","1,931",877,529,268,80
2015,서울특별시 종로구 가회동(1111060000),남,"2,246",239,"1,651",919,356,221,116,19
2015,서울특별시 종로구 가회동(1111060000),여,"2,591",237,"1,833","1,012",521,308,152,61
2015,서울특별시 종로구 종로1.2.3.4가동(1111061500),계,"7,876",396,"5,725","2,611","1,755","1,034",516,205
2015,서울특별시 종로구 종로1.2.3.4가동(1111061500),남,"4,553",207,"3,403","1,627",943,618,242,83
2015,서울특별시 종로구 종로1.2.3.4가동(1111061500),여,"3,323",189,"2,322",984,812,416,274,122
